start_time,end_time
2.5,3.5
4.8,5.7
7.2,8
9.4,10.2
11.8,12.6
14.1,14.8
16.5,17.2
18.7,19.4
21.9,22.7
24.1,24.9
26.3,27.1
28.8,29.5
30.9,31.7
33,33.8
35.2,36
37.5,38.2
39.9,40.6
42,42.8
44.2,44.9
46.3,47
48.7,49.4
51,51.7
53.2,53.9
55.3,56.2
57.5,58.3
59.8,60.6
62.7,63.4
64.9,65.7
67.4,68.1
69.5,70.2
71.8,72.4
74.5,75.2
76.7,77.4
79.2,79.9
81.8,82.6
84.3,85.1
86.7,87.5
89.1,89.7
91.4,92.2
93.7,94.5
96,96.7
98.1,98.8
100.3,100.9
102.4,103.2
104.5,105.4
106.7,107.5
108.9,109.6
11.1,11.8
113.2,113.9
115.3,116
117.6,118.3
119.8,120.5
122,122.7
124.1,124.8
126.2,126.9
128.3,129.1
130.7,131.3
132.7,133.5
135.1,135.9
137.2,138
139.4,140.2
141.4,142.3
143.6,144.3
145.8,146.7
153.3,154
155.9,156.7
158.2,159
161.1,161.9
163.6,164.4
166.1,166.8
168.2,169
170.5,171.4
172.9,173.9
175.4,176.2
177.7,178.5
179.9,180.7
182.2,182.9
184.3,185
187.1,187.9
189.5,190.1
191.5,192.3
193.4,194.2
195.7,196.4
198.1,198.8
200.8,201.5
203.1,203.8
205.3,206.1
207.4,208.2
209.7,210.4
212,212.7
214.4,215.1
216.7,217.5
219.2,220
221.6,222.4
223.9,224.7
225.8,226.6
228.1,228.8
230.2,231
232.4,233.1
234.3,235.1
236.4,237.3
238.5,239.5
240.6,241.4
242.8,243.5
245.3,246
247.6,248.4
249.7,250.5
252.2,252.9
254.3,255.1
256.8,257.6
259.1,259.9
261.4,262.2
263.6,264.4
265.9,266.6
268.1,268.8
270.4,271.1
272.6,273.3
275,275.7
277,277.7
279.1,279.8
281.1,281.9
283.3,284
285.5,286.2
287.5,288.3
289.4,290.2
291.4,292.1
293.4,294.2
295.5,296.2
297.5,298.3
299.6,300.3
